CHANNEL_PROVIDER_ID,SHORT_NAME,Eastern Begin Time,Eastern End Time,NAME
TVPPL,TVPPL,4/18/22 1:20,4/18/22 1:30,TBA...
TVPPLH,TVPPL,4/18/22 1:20,4/18/22 1:30,TBA...
TVPPL,TVPPL,4/18/22 11:20,4/18/22 12:15,TBA...
TVPPLH,TVPPL,4/18/22 11:20,4/18/22 12:15,TBA...
TVPPLH,TVPPL,4/18/22 17:30,4/18/22 18:30,TBA...
TVPPL,TVPPL,4/18/22 17:30,4/18/22 18:30,TBA...
TV2KI,INFO,4/21/22 1:35,4/21/22 2:25,TBA...
TV2KI1,TV2KI,4/21/22 1:35,4/21/22 2:25,TBA...
TV2KI,INFO,4/21/22 3:10,4/21/22 3:45,TBA...
TV2KI1,TV2KI,4/21/22 3:10,4/21/22 3:45,TBA...
TV2KI1,TV2KI,4/21/22 3:45,4/21/22 4:30,TBA...
TV2KI,INFO,4/21/22 3:45,4/21/22 4:30,TBA...
TV2KI,INFO,4/21/22 4:30,4/21/22 5:00,TBA...
TV2KI1,TV2KI,4/21/22 4:30,4/21/22 5:00,TBA...
TV2KI,INFO,4/21/22 9:00,4/21/22 9:15,TBA...
TV2KI1,TV2KI,4/21/22 9:00,4/21/22 9:15,TBA...
TV2KI,INFO,4/21/22 13:30,4/21/22 14:00,TBA...
TV2KI1,TV2KI,4/21/22 13:30,4/21/22 14:00,TBA...
TV2KI,INFO,4/21/22 15:10,4/21/22 17:00,TBA...
TV2KI1,TV2KI,4/21/22 15:10,4/21/22 17:00,TBA...
TV2KI,INFO,4/21/22 17:00,4/21/22 17:25,TBA...
TV2KI1,TV2KI,4/21/22 17:00,4/21/22 17:25,TBA...
TV2KI,INFO,4/21/22 20:15,4/21/22 20:35,TBA...
TV2KI1,TV2KI,4/21/22 20:15,4/21/22 20:35,TBA...
TV2KI,INFO,4/21/22 21:50,4/21/22 22:30,TBA...
TV2KI1,TV2KI,4/21/22 21:50,4/21/22 22:30,TBA...
