CHANNEL_PROVIDER_ID,SHORT_NAME,Eastern Begin Time,Eastern End Time,NAME
FRSTH,KNSO,4/26/22 13:00,4/26/22 14:00,TBA...
SF-I9H,KTNC,4/26/22 16:30,4/26/22 17:00,TBA...
OMAJC,KYNE3,4/26/22 17:00,4/26/22 17:30,TBA...
PRRP2H,WMTJ,4/26/22 17:30,4/26/22 18:00,TBA...
OMAJC,KYNE3,4/26/22 20:00,4/26/22 20:30,TBA...
OMAJC,KYNE3,4/26/22 23:00,4/26/22 23:30,TBA...
OMAJC,KYNE3,4/27/22 0:30,4/27/22 1:00,TBA...
WAUJG,WAOW3,4/27/22 8:30,4/27/22 9:00,TBA...
PRRP2H,WMTJ,4/27/22 9:00,4/27/22 9:30,TBA...
SPKCW,KSKN,4/27/22 9:00,4/27/22 10:00,TBA...
LCE-T,WYTU,4/27/22 10:00,4/27/22 11:00,TBA...
FRSTH,KNSO,4/27/22 13:00,4/27/22 14:00,TBA...
SF-I9H,KTNC,4/27/22 16:30,4/27/22 17:00,TBA...
PRRP2H,WMTJ,4/27/22 17:30,4/27/22 18:00,TBA...
OTA253,KAMR,4/27/22 20:00,4/27/22 21:00,TBA...
ORLNHE,WESH,4/27/22 20:00,4/27/22 21:00,TBA...
DAYNH,WDTN,4/27/22 20:00,4/27/22 21:00,TBA...
PRR-N,WKAQ3,4/27/22 20:00,4/27/22 21:00,TBA...
RIC-N,WWBT,4/27/22 20:00,4/27/22 21:00,TBA...
GRWNH,WNBD,4/27/22 20:00,4/27/22 21:00,TBA...
DOTN3,WRGX,4/27/22 20:00,4/27/22 21:00,TBA...
CLBNHET,WLTZ,4/27/22 20:00,4/27/22 21:00,TBA...
SHRNH,KTAL,4/27/22 20:00,4/27/22 21:00,TBA...
SHRNH,KTAL,4/27/22 21:00,4/27/22 22:00,TBA...
ORLNHE,WESH,4/27/22 21:00,4/27/22 22:00,TBA...
ABQN2,KOB,4/27/22 21:00,4/27/22 22:00,TBA...
HLNNH,KTVH,4/27/22 21:00,4/27/22 22:00,TBA...
PRR-N,WKAQ3,4/27/22 21:00,4/27/22 22:00,TBA...
CLBNHET,WLTZ,4/27/22 21:00,4/27/22 22:00,TBA...
OTA253,KAMR,4/27/22 21:00,4/27/22 22:00,TBA...
DAYNH,WDTN,4/27/22 21:00,4/27/22 22:00,TBA...
DOTN3,WRGX,4/27/22 21:00,4/27/22 22:00,TBA...
